registration_number,business_type,registration_date,name_in_pdf,search_name,association,source_page,match_status,match_count,official_name,corporate_number,official_address_with_postcode
5036,第２種,平成13年08月02日,有限会社神洲トラベル,有限会社神洲トラベル,ＡＮＴＡ,5,unique_match,1,有限会社神洲トラベル,7013302016763,〒170-0013 東京都豊島区東池袋１丁目１７番３号ウェルシャン池袋２０６号
5038,第３種,平成13年08月07日,株式会社ドレスツアーズ,株式会社ドレスツアーズ,,5,unique_match,1,株式会社ドレスツアーズ,9013201007341,〒152-0003 東京都目黒区碑文谷２丁目７番１０号
5053,第３種,平成13年09月13日,ＭＳ＆ＡＤビジネスサポート株式会社,ＭＳ＆ＡＤビジネスサポート株式会社,ＡＮＴＡ,5,unique_match,1,ＭＳ＆ＡＤビジネスサポート株式会社,5010001049097,〒104-0033 東京都中央区新川２丁目２７番２号
5054,第３種,平成13年09月18日,有限会社トラベルサイト(トラベル旅サイト),有限会社トラベルサイト,ＡＮＴＡ,5,unique_match,1,有限会社トラベルサイト,1011502012274,〒114-0002 東京都北区王子３丁目１６番６号睦ハイツ２０１
5055,第３種,平成13年09月18日,布　由紀子(ジェイアンドワイ　トラベル・ジャパン),布　由紀子,,5,not_found,0,,,
5056,第３種,平成13年09月18日,ワタナベモーターズ株式会社,ワタナベモーターズ株式会社,,5,unique_match,1,ワタナベモーターズ株式会社,7011801014676,〒121-0062 東京都足立区南花畑４丁目５番１９号
5058,第３種,平成13年09月20日,株式会社スカイエフワールド,株式会社スカイエフワールド,ＡＮＴＡ,5,unique_match,1,株式会社スカイエフワールド,3010001074907,〒108-0014 東京都港区芝５丁目１３番地１０号プラザ芝ビル３階
5059,第２種,平成13年09月25日,株式会社リロクラブ,株式会社リロクラブ,ＪＡＴＡ,5,unique_match,1,株式会社リロクラブ,2011101032251,〒160-0022 東京都新宿区新宿４丁目２番１８号
5071,第２種,平成13年10月16日,スポーツクラブＮＡＳ株式会社,スポーツクラブＮＡＳ株式会社,ＡＮＴＡ,5,unique_match,1,スポーツクラブＮＡＳ株式会社,9010601041375,〒105-0001 東京都港区虎ノ門４丁目３番１号
5072,第３種,平成13年10月16日,株式会社トラベルジョーズ,株式会社トラベルジョーズ,,5,unique_match,1,株式会社トラベルジョーズ,1010001090245,〒104-0061 東京都中央区銀座８丁目１０番４号
5082,第３種,平成13年11月06日,株式会社シニア旅行カウンセラーズ,株式会社シニア旅行カウンセラーズ,ＡＮＴＡ,5,unique_match,1,株式会社シニア旅行カウンセラーズ,3010005005627,〒101-0047 東京都千代田区内神田２丁目１５－１５
5085,第２種,平成13年11月15日,株式会社コスモエージェンシー,株式会社コスモエージェンシー,ＡＮＴＡ,5,duplicate_name,5,,,
5089,第３種,平成13年11月22日,株式会社エスケープロモーション,株式会社エスケープロモーション,,5,duplicate_name,3,,,
5097,第３種,平成13年12月20日,日本コンベンションサービス株式会社,日本コンベンションサービス株式会社,ＡＮＴＡ,5,unique_match,1,日本コンベンションサービス株式会社,2010001033161,〒100-0013 東京都千代田区霞が関１丁目４番２号
