registration_number,business_type,registration_date,name_in_pdf,search_name,association,source_page,match_status,match_count,official_name,corporate_number,official_address_with_postcode
129,第２種,昭和51年10月16日,株式会社関東観光社,株式会社関東観光社,ＡＮＴＡ,1,unique_match,1,株式会社関東観光社,5013301002510,〒170-0013 東京都豊島区東池袋３丁目１番４号メゾンサンシャイン１０４４号
163,第２種,昭和28年05月22日,関東観光株式会社,関東観光株式会社,ＡＮＴＡ,1,duplicate_name,2,,,
204,第２種,昭和49年06月20日,株式会社東京ミツワ旅行会,株式会社東京ミツワ旅行会,ＡＮＴＡ,1,unique_match,1,株式会社東京ミツワ旅行会,1011001016545,〒150-0002 東京都渋谷区渋谷１丁目１０番６号
262,第２種,昭和36年01月21日,昭和観光株式会社,昭和観光株式会社,ＡＮＴＡ,1,duplicate_name,9,,,
347,第２種,昭和36年12月02日,有限会社鹿島観光,有限会社鹿島観光,ＡＮＴＡ,1,duplicate_name,4,,,
423,第３種,昭和51年10月04日,株式会社新日本交通観光社,株式会社新日本交通観光社,ＡＮＴＡ,1,unique_match,1,株式会社新日本交通観光社,6011001011558,〒150-0001 東京都渋谷区神宮前６丁目１９番１６号
543,第２種,昭和35年06月14日,東交観光バス株式会社,東交観光バス株式会社,ＡＮＴＡ,1,unique_match,1,東交観光バス株式会社,4011301005014,〒166-0003 東京都杉並区高円寺南３丁目４番２号
646,第３種,昭和36年11月22日,株式会社関東ツーリスト・クラブ,株式会社関東ツーリスト・クラブ,ＪＡＴＡ,1,unique_match,1,株式会社関東ツーリスト・クラブ,5010401007480,〒105-0003 東京都港区西新橋１丁目１９番６号
722,第３種,昭和37年12月01日,アルプス観光株式会社,アルプス観光株式会社,ＡＮＴＡ,1,duplicate_name,2,,,
810,第２種,昭和50年07月01日,寿観光株式会社,寿観光株式会社,ＡＮＴＡ,1,duplicate_name,6,,,
905,第３種,昭和42年09月26日,株式会社新日本紀行,株式会社新日本紀行,ＡＮＴＡ,1,duplicate_name,2,,,
1013,第３種,昭和40年03月01日,松﨑  セツ(こだま観光社),松﨑  セツ,,1,not_found,0,,,
1359,第２種,昭和48年08月23日,オリオンズ観光株式会社,オリオンズ観光株式会社,ＡＮＴＡ,1,unique_match,1,オリオンズ観光株式会社,7011801006780,〒121-0813 東京都足立区竹の塚１丁目３５番１２号
1382,第３種,昭和43年01月09日,株式会社東京バンケットプロデュース,株式会社東京バンケットプロデュース,ＡＮＴＡ,1,unique_match,1,株式会社東京バンケットプロデュース,1010001034359,〒102-0082 東京都千代田区一番町２７番２号
1508,第２種,昭和44年05月07日,長治観光株式会社,長治観光株式会社,ＡＮＴＡ,1,unique_match,1,長治観光株式会社,1011101012923,〒160-0022 東京都新宿区新宿５丁目３番２０号
1630,第２種,昭和45年07月28日,株式会社北海道ツーリストセンター(ＨＴＣ),株式会社北海道ツーリストセンター,ＡＮＴＡ,1,unique_match,1,株式会社北海道ツーリストセンター,9010001028980,〒102-0093 東京都千代田区平河町１丁目５番１５号
1634,第３種,昭和45年08月25日,大谷  育三(イースタントラベルサービス),大谷  育三,ＡＮＴＡ,1,not_found,0,,,
1719,第２種,昭和49年01月24日,株式会社大日観光,株式会社大日観光,ＡＮＴＡ,1,duplicate_name,2,,,
1787,第２種,昭和28年04月07日,冨士自動車株式会社,冨士自動車株式会社,,1,duplicate_name,2,,,
1788,第２種,昭和28年07月14日,小田急バス株式会社,小田急バス株式会社,,1,unique_match,1,小田急バス株式会社,1012401021275,〒182-0002 東京都調布市仙川町２丁目１９番地５
1793,第２種,昭和30年01月26日,東海汽船株式会社,東海汽船株式会社,,1,unique_match,1,東海汽船株式会社,3010401020097,〒105-0022 東京都港区海岸１丁目１６番１号
1836,第２種,昭和47年04月05日,関東バス株式会社,関東バス株式会社,,1,unique_match,1,関東バス株式会社,8011201001183,〒164-0003 東京都中野区東中野５丁目２３番１４号
1907,第３種,昭和48年08月09日,綜合商社日本サンセット株式会社,綜合商社日本サンセット株式会社,ＡＮＴＡ,1,unique_match,1,綜合商社日本サンセット株式会社,5011601003708,〒176-0013 東京都練馬区豊玉中１丁目３番地
1968,第３種,昭和49年09月28日,株式会社新潟交通サービスセンター,株式会社新潟交通サービスセンター,,1,unique_match,1,株式会社新潟交通サービスセンター,5010501010351,〒110-0005 東京都台東区上野１丁目１８番１１号
1977,第３種,昭和49年10月30日,株式会社北斗ツーリスト,株式会社北斗ツーリスト,ＡＮＴＡ,1,unique_match,1,株式会社北斗ツーリスト,6010101003614,〒192-0062 東京都八王子市大横町１３番３号
2062,第３種,昭和51年08月31日,首都国際観光興業株式会社,首都国際観光興業株式会社,ＡＮＴＡ,1,unique_match,1,首都国際観光興業株式会社,3010001047350,〒103-0015 東京都中央区日本橋箱崎町２７番５号
2075,第３種,昭和51年12月06日,協栄観光株式会社,協栄観光株式会社,ＡＮＴＡ,1,duplicate_name,4,,,
2107,第３種,昭和52年03月02日,細田観光株式会社,細田観光株式会社,ＡＮＴＡ,1,unique_match,1,細田観光株式会社,1010501012351,〒111-0032 東京都台東区浅草５丁目３２番１号
2116,第２種,昭和52年05月07日,立川観光株式会社,立川観光株式会社,ＡＮＴＡ,1,unique_match,1,立川観光株式会社,9012801000821,〒190-0012 東京都立川市曙町２丁目７番１９号
2135,第２種,昭和52年07月20日,小笠原海運株式会社,小笠原海運株式会社,,1,unique_match,1,小笠原海運株式会社,3010401006113,〒105-0004 東京都港区新橋６丁目１６番１２号
2143,第２種,昭和52年08月12日,国際空輸株式会社,国際空輸株式会社,ＡＮＴＡ,1,unique_match,1,国際空輸株式会社,6011101007225,〒135-0024 東京都江東区清澄１丁目８番４号
2174,第２種,昭和53年03月11日,株式会社ナショナルランド(小笠原観光情報センター),株式会社ナショナルランド,ＡＮＴＡ,1,duplicate_name,2,,,
2200,第２種,昭和53年07月19日,株式会社ビューツアーシステム,株式会社ビューツアーシステム,ＡＮＴＡ,1,unique_match,1,株式会社ビューツアーシステム,4010001027459,〒101-0021 東京都千代田区外神田５丁目５番１１号
2206,第２種,昭和53年09月11日,市川観光商事株式会社,市川観光商事株式会社,ＡＮＴＡ,1,unique_match,1,市川観光商事株式会社,7010501003329,〒110-0005 東京都台東区上野７丁目８番２２号
2210,第２種,昭和53年09月21日,株式会社トラベル・セゾン(合宿ガイドセンター),株式会社トラベル・セゾン,ＡＮＴＡ,1,unique_match,1,株式会社トラベル・セゾン,7010001024742,〒101-0061 東京都千代田区神田三崎町２丁目２０番４号
2225,第２種,昭和53年12月04日,一般財団法人東京都ユース・ホステル協会,一般財団法人東京都ユース・ホステル協会,ＡＮＴＡ,1,unique_match,1,一般財団法人東京都ユース・ホステル協会,5010505001306,〒130-0014 東京都墨田区亀沢２丁目２０番７号天田第５ビル２階
2226,第３種,昭和53年12月04日,株式会社日本レクリェーションセンター,株式会社日本レクリェーションセンター,ＡＮＴＡ,1,unique_match,1,株式会社日本レクリェーションセンター,9013301009898,〒170-0013 東京都豊島区東池袋３丁目１番４号メゾンサンシャイン９０６
2232,第２種,昭和54年01月08日,西東京バス株式会社,西東京バス株式会社,ＡＮＴＡ,1,unique_match,1,西東京バス株式会社,1010101003032,〒192-0046 東京都八王子市明神町３丁目１番７号
2237,第２種,昭和54年01月17日,株式会社オーシャン,株式会社オーシャン,ＡＮＴＡ,1,duplicate_name,156,,,
2267,第２種,昭和54年07月03日,株式会社大洋観光サービス,株式会社大洋観光サービス,ＡＮＴＡ,1,unique_match,1,株式会社大洋観光サービス,2012801002295,〒196-0034 東京都昭島市玉川町１丁目２番１号
2276,第３種,昭和54年09月28日,株式会社新国際観光,株式会社新国際観光,ＡＮＴＡ,1,unique_match,1,株式会社新国際観光,7010801005289,〒146-0082 東京都大田区池上４丁目１６番９号
2288,第３種,昭和54年12月27日,練馬観光株式会社,練馬観光株式会社,,1,unique_match,1,練馬観光株式会社,1011601005419,〒179-0083 東京都練馬区平和台２丁目１番５号
2328,第３種,昭和56年01月23日,株式会社トラベル新日本企画,株式会社トラベル新日本企画,ＡＮＴＡ,1,unique_match,1,株式会社トラベル新日本企画,4010601005302,〒136-0071 東京都江東区亀戸２丁目２４番３－３０２号
2373,第３種,昭和57年01月22日,ホリウェイズ・インターナショナル株式会社,ホリウェイズ・インターナショナル株式会社,,1,not_found,0,,,
2374,第２種,昭和57年01月25日,株式会社国際思い出観光トラベルサービス,株式会社国際思い出観光トラベルサービス,ＡＮＴＡ,1,unique_match,1,株式会社国際思い出観光トラベルサービス,3012701001339,〒189-0003 東京都東村山市久米川町５丁目１番地４０
2379,第２種,昭和57年03月01日,株式会社はとバス,株式会社はとバス,ＡＮＴＡ,1,unique_match,1,株式会社はとバス,5010001026807,〒100-0005 東京都千代田区丸の内１丁目９番１号
2382,第３種,昭和57年03月23日,株式会社トレビアン,株式会社トレビアン,,1,duplicate_name,5,,,
2411,第２種,昭和57年08月23日,日の丸自動車興業株式会社,日の丸自動車興業株式会社,ＡＮＴＡ,1,duplicate_name,2,,,
2446,第２種,昭和58年04月26日,株式会社新日本ツーリスト,株式会社新日本ツーリスト,ＡＮＴＡ,1,duplicate_name,4,,,
2454,第２種,昭和58年05月23日,ヤサカ観光興業株式会社,ヤサカ観光興業株式会社,ＡＮＴＡ,1,unique_match,1,ヤサカ観光興業株式会社,3011801012650,〒114-0003 東京都北区豊島４丁目１番１号
2455,第３種,昭和58年06月01日,株式会社三慧,株式会社三慧,ＡＮＴＡ,1,duplicate_name,2,,,
2467,第２種,昭和58年07月07日,生活協同組合連合会大学生協事業連合(大学生協事業連合),生活協同組合連合会大学生協事業連合,ＡＮＴＡ,1,unique_match,1,生活協同組合連合会大学生協事業連合,1011305001714,〒166-0012 東京都杉並区和田３丁目３０番２２号
2471,第２種,昭和58年08月08日,株式会社全観(新橋会),株式会社全観,ＡＮＴＡ,1,unique_match,1,株式会社全観,9010401015620,〒143-0016 東京都大田区大森北３丁目４番１号
2474,第３種,昭和58年08月23日,株式会社トラベルユアーズ,株式会社トラベルユアーズ,ＡＮＴＡ,1,unique_match,1,株式会社トラベルユアーズ,6011101014691,〒162-0843 東京都新宿区市谷田町２丁目５番地
2482,第３種,昭和58年10月14日,東京目白旅行株式会社,東京目白旅行株式会社,ＡＮＴＡ,1,unique_match,1,東京目白旅行株式会社,3013301008674,〒171-0031 東京都豊島区目白３丁目４番１２号
2488,第３種,昭和58年11月17日,e-sumegh tours and travels株式会社,e-sumegh tours and travels株式会社,,1,unique_match,1,ｅ－ｓｕｍｅｇｈ　ｔｏｕｒｓ　ａｎｄ　ｔｒａｖｅｌｓ株式会社,8013301030954,〒169-0073 東京都新宿区百人町１丁目１７－６成田ビル３０１
2496,第３種,昭和59年01月24日,東京理科大学消費生活協同組合,東京理科大学消費生活協同組合,ＡＮＴＡ,1,unique_match,1,東京理科大学消費生活協同組合,8011105001065,〒162-0825 東京都新宿区神楽坂１丁目３番地東京理科大学内
2502,第２種,昭和59年02月13日,東京大学消費生活協同組合,東京大学消費生活協同組合,ＡＮＴＡ,1,unique_match,1,東京大学消費生活協同組合,8010005002520,〒113-0033 東京都文京区本郷７丁目３番１号
2503,第２種,昭和59年02月13日,株式会社峰観光社,株式会社峰観光社,ＡＮＴＡ,1,unique_match,1,株式会社峰観光社,2011701007652,〒134-0087 東京都江戸川区清新町２丁目４番１１－５０１号
2504,第３種,昭和59年03月07日,慶応義塾生活協同組合,慶応義塾生活協同組合,ＡＮＴＡ,1,not_found,0,,,
2510,第２種,昭和59年03月17日,さくらツーリスト株式会社(ＳＴＢツアーセンター),さくらツーリスト株式会社,ＡＮＴＡ,1,duplicate_name,2,,,
2522,第３種,昭和59年05月02日,法政大学生活協同組合,法政大学生活協同組合,ＡＮＴＡ,1,unique_match,1,法政大学生活協同組合,8010005002512,〒102-0071 東京都千代田区富士見２丁目１７番１号法政大学構内
2529,第３種,昭和59年06月01日,早稲田大学生活協同組合,早稲田大学生活協同組合,ＡＮＴＡ,1,unique_match,1,早稲田大学生活協同組合,9011105001072,〒169-0051 東京都新宿区西早稲田１丁目６番１号
2535,第２種,昭和59年07月13日,フジメイトトラベル株式会社,フジメイトトラベル株式会社,ＡＮＴＡ,1,unique_match,1,フジメイトトラベル株式会社,8011301006347,〒167-0021 東京都杉並区井草２丁目１７番４号
2560,第２種,昭和60年01月08日,立川バス株式会社,立川バス株式会社,ＡＮＴＡ,1,unique_match,1,立川バス株式会社,4012801000850,〒190-0011 東京都立川市高松町２丁目２７番２７号
2567,第３種,昭和60年01月31日,東京学芸大学生活協同組合,東京学芸大学生活協同組合,,1,unique_match,1,東京学芸大学生活協同組合,7012405000170,〒184-0015 東京都小金井市貫井北町４丁目１番１号
2571,第３種,昭和60年03月28日,東京外国語大学生活協同組合,東京外国語大学生活協同組合,,1,unique_match,1,東京外国語大学生活協同組合,1012405000473,〒183-0003 東京都府中市朝日町３丁目１１番地の１
2574,第３種,昭和60年04月10日,電気通信大学生活協同組合,電気通信大学生活協同組合,,1,unique_match,1,電気通信大学生活協同組合,5012405001063,〒182-0021 東京都調布市調布ケ丘１丁目５番地１
2588,第３種,昭和60年05月29日,東京ワーナー観光株式会社,東京ワーナー観光株式会社,ＡＮＴＡ,1,unique_match,1,東京ワーナー観光株式会社,2011801010184,〒121-0076 東京都足立区平野１丁目６番１４号
2590,第３種,昭和60年06月03日,東京経済大学生活協同組合,東京経済大学生活協同組合,,1,unique_match,1,東京経済大学生活協同組合,6012405000171,〒185-0021 東京都国分寺市南町１丁目７番３４号東京経済大学内
2595,第３種,昭和60年06月24日,日本女子大学生活協同組合,日本女子大学生活協同組合,,1,unique_match,1,日本女子大学生活協同組合,9010005002536,〒112-0015 東京都文京区目白台２丁目８番１号
2622,第２種,昭和60年10月30日,株式会社エスシー・カードビジネス(ＶＩＳＡ  ＳＣ  トラベル),株式会社エスシー・カードビジネス,ＪＡＴＡ,1,unique_match,1,株式会社エスシー・カードビジネス,1010401004589,〒105-0004 東京都港区新橋１丁目８番４号
2624,第３種,昭和60年11月06日,東京科学大学つばめ生活協同組合,東京科学大学つばめ生活協同組合,,1,unique_match,1,東京科学大学つばめ生活協同組合,4013205000272,〒152-0033 東京都目黒区大岡山２丁目１２番１号
2631,第３種,昭和60年12月05日,明治学院消費生活協同組合,明治学院消費生活協同組合,,1,unique_match,1,明治学院消費生活協同組合,8010405001923,〒108-0071 東京都港区白金台１丁目２番３７号
2636,第３種,昭和60年12月23日,首都圏観光株式会社,首都圏観光株式会社,ＡＮＴＡ,1,duplicate_name,2,,,
2653,第２種,昭和61年02月19日,株式会社アイ・シー・ユー,株式会社アイ・シー・ユー,ＡＮＴＡ,1,unique_match,1,株式会社アイ・シー・ユー,9010001035309,〒103-0013 東京都中央区日本橋人形町２丁目２番６号
2664,第３種,昭和61年04月17日,東洋大学生活協同組合,東洋大学生活協同組合,,1,unique_match,1,東洋大学生活協同組合,4010005002508,〒112-0001 東京都文京区白山５丁目２８番地２０号
2669,第３種,昭和61年04月30日,有限会社多摩湖ツーリスト,有限会社多摩湖ツーリスト,,1,unique_match,1,有限会社多摩湖ツーリスト,3012702002971,〒189-0026 東京都東村山市多摩湖町１丁目３５番地１５
2671,第２種,昭和61年05月07日,東都観光バス株式会社,東都観光バス株式会社,ＡＮＴＡ,1,unique_match,1,東都観光バス株式会社,9013301008297,〒160-0022 東京都新宿区新宿４丁目１番６号ＪＲ新宿ミライナタワー８階
2691,第３種,昭和61年09月02日,新東和旅行有限会社,新東和旅行有限会社,ＡＮＴＡ,1,unique_match,1,新東和旅行有限会社,5010102003275,〒192-0061 東京都八王子市平岡町２６番８号
2692,第３種,昭和59年03月28日,ユニックストラベル株式会社,ユニックストラベル株式会社,,1,unique_match,1,ユニックストラベル株式会社,8011101021802,〒169-0075 東京都新宿区高田馬場１丁目２－１２，１階
2711,第３種,昭和62年01月12日,フロンティアインターナショナルジャパン株式会社,フロンティアインターナショナルジャパン株式会社,,1,unique_match,1,フロンティアインターナショナルジャパン株式会社,5010001056432,〒104-0032 東京都中央区八丁堀１丁目１３番１０号
2731,第２種,昭和62年04月10日,有限会社エフ・トラベル,有限会社エフ・トラベル,ＡＮＴＡ,2,unique_match,1,有限会社エフ・トラベル,5011102027792,〒169-0071 東京都新宿区戸塚町１丁目１０１番地８
2743,第２種,昭和62年06月25日,東日本旅客鉄道株式会社,東日本旅客鉄道株式会社,,2,unique_match,1,東日本旅客鉄道株式会社,9011001029597,〒151-0053 東京都渋谷区代々木２丁目２番２号
2751,第３種,昭和62年08月18日,株式会社ジャパンコムセンター(ジャパンコムツーリスト),株式会社ジャパンコムセンター,,2,unique_match,1,株式会社ジャパンコムセンター,9011601015088,〒170-0013 東京都豊島区東池袋３丁目８番５号
2754,第３種,昭和62年09月03日,東京都立大学生活協同組合,東京都立大学生活協同組合,,2,unique_match,1,東京都立大学生活協同組合,1010105000232,〒192-0364 東京都八王子市南大沢１丁目１番地
2768,第３種,昭和62年11月06日,労働者協同組合労協センター事業団(労協ツーリスト),労働者協同組合労協センター事業団,,2,unique_match,1,労働者協同組合労協センター事業団,6013305000633,〒170-0013 東京都豊島区東池袋１丁目４４－３池袋ＩＳＰタマビル
2777,第３種,昭和62年12月24日,株式会社ティー・ピー・オー,株式会社ティー・ピー・オー,ＡＮＴＡ,2,duplicate_name,8,,,
2781,第３種,昭和63年01月06日,有限会社江戸川トラベル,有限会社江戸川トラベル,ＡＮＴＡ,2,unique_match,1,有限会社江戸川トラベル,4011702001586,〒133-0051 東京都江戸川区北小岩３丁目２０番１１号
2790,第３種,昭和63年03月03日,株式会社ユ－バ,株式会社ユ－バ,,2,not_found,0,,,
2797,第２種,昭和63年04月11日,ジェイアールバス関東株式会社,ジェイアールバス関東株式会社,ＡＮＴＡ,2,unique_match,1,ジェイアールバス関東株式会社,1011001029621,〒135-0043 東京都江東区塩浜２丁目１８番１３号
2822,第２種,昭和63年07月07日,株式会社ワールドプランニングオフィス,株式会社ワールドプランニングオフィス,ＡＮＴＡ,2,unique_match,1,株式会社ワールドプランニングオフィス,7011101022520,〒160-0022 東京都新宿区新宿１丁目２８番３号
2824,第２種,昭和63年07月25日,南西旅行開発株式会社,南西旅行開発株式会社,ＡＮＴＡ,2,unique_match,1,南西旅行開発株式会社,6011001016813,〒150-0002 東京都渋谷区渋谷２丁目８番７号
2835,第２種,昭和63年08月22日,ニュープリンス観光バス株式会社,ニュープリンス観光バス株式会社,ＡＮＴＡ,2,unique_match,1,ニュープリンス観光バス株式会社,3010101003014,〒192-0003 東京都八王子市丹木町２丁目２０７番地の１
2838,第３種,昭和63年09月12日,芝浦工業大学消費生活協同組合,芝浦工業大学消費生活協同組合,,2,unique_match,1,芝浦工業大学消費生活協同組合,1010605001705,〒135-0061 東京都江東区豊洲３丁目７番５号
2845,第３種,昭和63年10月05日,株式会社アイビー・シー・エス,株式会社アイビー・シー・エス,ＪＡＴＡ,2,unique_match,1,株式会社アイビー・シー・エス,9011001012140,〒150-0002 東京都渋谷区渋谷４丁目４番２５号
2853,第２種,昭和63年11月02日,フェニックスホールディングス株式会社,フェニックスホールディングス株式会社,ＡＮＴＡ,2,duplicate_name,2,,,
2872,第３種,昭和63年12月09日,お茶の水女子大学消費生活協同組合,お茶の水女子大学消費生活協同組合,,2,unique_match,1,お茶の水女子大学消費生活協同組合,6010005002489,〒112-0012 東京都文京区大塚２丁目１番１号
2873,第３種,昭和63年12月09日,井上  悦治(トラベルジャパン),井上  悦治,,2,not_found,0,,,
2875,第２種,昭和63年12月15日,株式会社ジャパン・スポーツ・プロモーション(ジェーエスピー),株式会社ジャパン・スポーツ・プロモーション,ＡＮＴＡ,2,not_found,0,,,
2883,第３種,平成01年01月19日,東京薬科大学生活協同組合,東京薬科大学生活協同組合,,2,unique_match,1,東京薬科大学生活協同組合,3010105000230,〒192-0355 東京都八王子市堀之内１４３２番１号
2884,第２種,平成01年01月25日,株式会社ハロートラベル,株式会社ハロートラベル,ＡＮＴＡ,2,duplicate_name,2,,,
2885,第３種,平成01年01月25日,株式会社飛鳥旅行,株式会社飛鳥旅行,ＡＮＴＡ,2,unique_match,1,株式会社飛鳥旅行,2011301012276,〒168-0065 東京都杉並区浜田山３丁目３３番地１８
2895,第２種,平成01年03月08日,幼児活動研究会株式会社(銀河鉄道ツーリスト),幼児活動研究会株式会社,ＡＮＴＡ,2,unique_match,1,幼児活動研究会株式会社,3010701010137,〒141-0031 東京都品川区西五反田２丁目１１番１７号
2902,第３種,平成01年03月27日,津田塾大学生活協同組合,津田塾大学生活協同組合,,2,unique_match,1,津田塾大学生活協同組合,5012705000153,〒187-0025 東京都小平市津田町２丁目１番１号
2907,第３種,平成01年04月11日,東京農工大学消費生活協同組合,東京農工大学消費生活協同組合,,2,unique_match,1,東京農工大学消費生活協同組合,9012405000169,〒183-0054 東京都府中市幸町３丁目５番地８
2916,第３種,平成01年05月15日,株式会社ラッキートラベル,株式会社ラッキートラベル,ＡＮＴＡ,2,unique_match,1,株式会社ラッキートラベル,6011401006802,〒174-0072 東京都板橋区南常盤台１丁目１３番８号
2922,第２種,平成01年05月30日,深沢観光サービス株式会社,深沢観光サービス株式会社,ＡＮＴＡ,2,unique_match,1,深沢観光サービス株式会社,9011501008539,〒116-0002 東京都荒川区荒川３丁目７１番５号
2929,第３種,平成01年06月22日,株式会社トミースカイサービス,株式会社トミースカイサービス,,2,unique_match,1,株式会社トミースカイサービス,6011701005784,〒133-0056 東京都江戸川区南小岩７丁目１番２号
2936,第３種,平成01年07月11日,東京科学大学御茶ノ水生活協同組合,東京科学大学御茶ノ水生活協同組合,,2,unique_match,1,東京科学大学御茶ノ水生活協同組合,4010005002524,〒113-0034 東京都文京区湯島１丁目５番４５号東京科学大学内
2939,第３種,平成01年07月17日,東京電機大学生活協同組合,東京電機大学生活協同組合,,2,unique_match,1,東京電機大学生活協同組合,9010005002528,〒120-0026 東京都足立区千住旭町５番
2947,第２種,平成01年08月30日,株式会社ショウトラベル,株式会社ショウトラベル,ＡＮＴＡ,2,unique_match,1,株式会社ショウトラベル,5011601003229,〒176-0001 東京都練馬区練馬１丁目２６番２号
2948,第３種,平成01年09月14日,東京海洋大学生活協同組合,東京海洋大学生活協同組合,,2,unique_match,1,東京海洋大学生活協同組合,4010405001927,〒108-0075 東京都港区港南４丁目５番７号
2950,第２種,平成01年09月14日,株式会社東日ツーリスト,株式会社東日ツーリスト,ＡＮＴＡ,2,unique_match,1,株式会社東日ツーリスト,4011401004510,〒175-0091 東京都板橋区三園１丁目３８番８－１０５号
2958,第２種,平成01年10月11日,株式会社冨士トラベル東京,株式会社冨士トラベル東京,ＡＮＴＡ,2,unique_match,1,株式会社冨士トラベル東京,1011001020613,〒150-0046 東京都渋谷区松濤１丁目２９番２号
2960,第３種,平成01年10月21日,株式会社ワタルツーリスト,株式会社ワタルツーリスト,,2,unique_match,1,株式会社ワタルツーリスト,1012401012068,〒180-0003 東京都武蔵野市吉祥寺南町１丁目１５番１号
2974,第２種,平成02年01月17日,美晴観光株式会社(クラブウィズ・Ｃｌｕｂ－Ｗｉｔｈ),美晴観光株式会社,,2,unique_match,1,美晴観光株式会社,6011401006182,〒175-0094 東京都板橋区成増１丁目１６番２号
2976,第３種,平成02年02月02日,株式会社バ－テックス,株式会社バ－テックス,,2,not_found,0,,,
2977,第３種,平成02年02月02日,株式会社一如社,株式会社一如社,,2,unique_match,1,株式会社一如社,8011001002514,〒190-0013 東京都立川市富士見町２丁目１番９号
2980,第３種,平成02年02月16日,株式会社ビュート,株式会社ビュート,ＡＮＴＡ,2,duplicate_name,3,,,
2993,第３種,平成02年04月06日,東京農業大学生活協同組合(東京農業大学生活協同組合プレイガイド),東京農業大学生活協同組合,,2,unique_match,1,東京農業大学生活協同組合,6010905000971,〒156-0054 東京都世田谷区桜丘１丁目１番１号
3005,第３種,平成02年05月01日,株式会社ワールドツーリストサービス,株式会社ワールドツーリストサービス,,2,unique_match,1,株式会社ワールドツーリストサービス,1011101022501,〒162-0825 東京都新宿区神楽坂３丁目６番地４８号
3018,第２種,平成02年07月23日,株式会社ワンダードリーム,株式会社ワンダードリーム,,2,duplicate_name,4,,,
3027,第３種,平成02年08月30日,株式会社幸福トラベル,株式会社幸福トラベル,ＡＮＴＡ,2,unique_match,1,株式会社幸福トラベル,1010601011823,〒131-0032 東京都墨田区東向島２丁目２８番８号
3033,第３種,平成02年10月01日,株式会社日本観光ツーリスト,株式会社日本観光ツーリスト,ＡＮＴＡ,2,unique_match,1,株式会社日本観光ツーリスト,8010801008927,〒143-0012 東京都大田区大森東１丁目６番１１号
3087,第３種,平成03年04月05日,武蔵学園生活協同組合,武蔵学園生活協同組合,,2,unique_match,1,武蔵学園生活協同組合,5011605000503,〒176-0011 東京都練馬区豊玉上１丁目２６番１号
3093,第３種,平成03年05月07日,株式会社シフト,株式会社シフト,,2,duplicate_name,61,,,
3097,第３種,平成03年05月13日,株式会社エス・ダブル・プランニング(スクーバ・ワールド),株式会社エス・ダブル・プランニング,ＡＮＴＡ,2,unique_match,1,株式会社エス・ダブル・プランニング,7010901001840,〒154-0023 東京都世田谷区若林４丁目３１番９号
3100,第３種,平成03年05月22日,株式会社丹青ビジネス,株式会社丹青ビジネス,,2,unique_match,1,株式会社丹青ビジネス,1010501007450,〒108-0075 東京都港区港南１丁目６番４１号
3101,第３種,平成03年05月27日,大谷商事有限会社(大谷観光),大谷商事有限会社,,2,duplicate_name,6,,,
3112,第３種,平成03年07月06日,根本  加代子(東京総合旅行),根本  加代子,,2,not_found,0,,,
3132,第２種,平成03年10月01日,東急バス株式会社(東急観光バス),東急バス株式会社,ＡＮＴＡ,2,unique_match,1,東急バス株式会社,5013201004029,〒153-0043 東京都目黒区東山３丁目８番１号
3135,第３種,平成03年10月21日,笹川  知英子(太陽観光),笹川  知英子,ＡＮＴＡ,2,not_found,0,,,
3143,第３種,平成03年11月05日,有限会社青梅トラベル,有限会社青梅トラベル,,2,unique_match,1,有限会社青梅トラベル,5013102005786,〒196-0025 東京都昭島市朝日町２丁目３番２４－３０３号
3151,第３種,平成03年12月16日,株式会社トップナッチツーリスト,株式会社トップナッチツーリスト,ＡＮＴＡ,2,unique_match,1,株式会社トップナッチツーリスト,6011801003465,〒124-0012 東京都葛飾区立石１丁目１２番２号
3168,第２種,平成04年02月07日,株式会社四季ネクサス,株式会社四季ネクサス,ＡＮＴＡ,2,unique_match,1,株式会社四季ネクサス,5010001018837,〒101-0052 東京都千代田区神田小川町３丁目１番１号
3169,第３種,平成04年02月10日,株式会社トラベルシステムズ,株式会社トラベルシステムズ,,2,unique_match,1,株式会社トラベルシステムズ,5010501012505,〒110-0013 東京都台東区入谷１丁目１９－４
3185,第３種,平成04年04月20日,株式会社コーヤマトラベル,株式会社コーヤマトラベル,,2,unique_match,1,株式会社コーヤマトラベル,2012701000291,〒187-0022 東京都小平市上水本町２丁目１番３号
3204,第２種,平成04年07月07日,ぴあ株式会社,ぴあ株式会社,ＡＮＴＡ,2,unique_match,1,ぴあ株式会社,1011001069980,〒150-0011 東京都渋谷区東１丁目２番２０号
3207,第３種,平成04年07月21日,株式会社エス.エス.ティー(銀河探検隊),株式会社エス.エス.ティー,,2,unique_match,1,株式会社エス．エス．ティー,6010401004493,〒107-0062 東京都港区南青山２丁目２番１５号
3224,第２種,平成04年09月22日,株式会社ＴＡＳ,株式会社ＴＡＳ,ＪＡＴＡ,2,duplicate_name,32,,,
3231,第３種,平成04年11月10日,トマトツアー株式会社,トマトツアー株式会社,ＡＮＴＡ,2,unique_match,1,トマトツアー株式会社,3013301008864,〒170-0013 東京都豊島区東池袋３丁目１１番９号
3232,第３種,平成04年11月16日,廣瀬  了(スター観光),廣瀬  了,ＡＮＴＡ,2,not_found,0,,,
